,city,lat,long,max temp,humidity,cloudiness,wind speed,country,date
0,Atuona,-9.8,-139.0333,77.11,77,8,16.8,PF,1609974797
1,Nanortalik,60.1432,-45.2371,31.37,89,100,7.83,GL,1609974797
2,Havre-St-Pierre,50.2334,-63.5986,35.6,51,90,11.41,CA,1609974797
3,Thompson,55.7435,-97.8558,19.4,100,90,6.78,CA,1609974797
4,Lebu,-37.6167,-73.65,59.4,86,11,16.4,CL,1609974797
5,La Ronge,55.1001,-105.2842,23.0,92,60,3.36,CA,1609974797
6,Brigantine,39.4101,-74.3646,39.2,55,20,17.22,US,1609974797
7,Tiksi,71.6872,128.8694,-18.38,85,100,33.58,RU,1609974797
8,Hirara,24.8,125.2833,62.6,87,75,18.34,JP,1609974798
9,Marolambo,-20.05,48.1167,67.86,92,96,1.32,MG,1609974798
10,Smithers,54.7804,-127.1743,33.8,86,75,9.17,CA,1609974798
11,Albany,42.6001,-73.9662,33.01,72,75,11.01,US,1609974604
12,Hithadhoo,-0.6,73.0833,82.04,80,85,16.4,MV,1609974798
13,Avarua,-21.2078,-159.775,84.2,74,33,10.29,CK,1609974798
14,Hilo,19.7297,-155.09,77.0,69,90,5.26,US,1609974737
15,Lahān,26.7296,86.4951,61.48,65,75,2.17,NP,1609974798
16,Hasaki,35.7333,140.8333,35.6,80,75,2.24,JP,1609974556
17,Ayan,56.45,138.1667,-22.86,73,93,11.54,RU,1609974798
18,Mar del Plata,-38.0023,-57.5575,68.0,100,90,19.46,AR,1609974603
19,Nikolskoye,59.7035,30.7861,27.0,86,90,11.18,RU,1609974798
20,Rikitea,-23.1203,-134.9692,77.59,62,21,6.85,PF,1609974798
21,Ponta do Sol,32.6667,-17.1,60.8,93,40,4.7,PT,1609974798
22,East London,-33.0153,27.9116,68.94,80,2,6.46,ZA,1609974798
23,Moindou,-21.6924,165.677,86.0,66,75,10.29,NC,1609974798
24,Cape Town,-33.9258,18.4232,68.0,72,0,13.87,ZA,1609974516
25,New Norfolk,-42.7826,147.0587,68.0,51,0,1.99,AU,1609974798
26,Ushuaia,-54.8,-68.3,62.6,42,75,9.17,AR,1609974688
27,Kapaa,22.0752,-159.319,78.8,65,75,12.75,US,1609974798
28,Pevek,69.7008,170.3133,-10.44,91,100,11.27,RU,1609974798
29,Brae,60.3964,-1.353,41.0,86,100,19.46,GB,1609974798
30,Jamestown,42.097,-79.2353,30.99,86,90,6.93,US,1609974798
31,Castro,-24.7911,-50.0119,68.11,90,85,4.83,BR,1609974798
32,Mataura,-46.1927,168.8643,63.0,91,100,5.99,NZ,1609974798
33,Shingū,33.7333,135.9833,36.52,80,99,5.64,JP,1609974798
34,Narsaq,60.9167,-46.05,23.0,53,100,7.72,GL,1609974798
35,Vaini,-21.2,-175.2,80.6,88,75,5.82,TO,1609974798
36,São João del Rei,-21.1356,-44.2617,69.8,83,75,2.24,BR,1609974798
37,Butaritari,3.0707,172.7902,82.24,80,60,19.75,KI,1609974798
38,Hobart,-42.8794,147.3294,68.0,54,40,5.82,AU,1609974787
39,Merefa,49.8197,36.0519,35.6,100,90,4.47,UA,1609974799
40,Lavrentiya,65.5833,-171.0,-13.86,84,4,7.27,RU,1609974799
41,Puerto Ayora,-0.7393,-90.3518,82.4,58,0,18.34,EC,1609974799
42,Esna,25.2934,32.554,60.8,51,0,5.68,EG,1609974799
43,Norman Wells,65.282,-126.8329,-14.8,68,75,4.07,CA,1609974799
44,Andapa,-14.65,49.65,68.38,91,56,1.95,MG,1609974799
45,Pocatello,42.8713,-112.4455,39.2,48,1,8.05,US,1609974571
46,Ahipara,-35.1667,173.1667,72.5,58,100,7.38,NZ,1609974799
47,Mirny,62.5353,113.9611,-9.4,69,100,11.18,RU,1609974799
48,Qaanaaq,77.484,-69.3632,-15.16,80,35,1.54,GL,1609974799
49,Yellowknife,62.456,-114.3525,19.4,92,75,5.82,CA,1609974799
50,Katsuura,35.1333,140.3,51.01,54,75,5.82,JP,1609974716
51,Arraial do Cabo,-22.9661,-42.0278,78.8,83,0,9.17,BR,1609974799
52,Port Blair,11.6667,92.75,78.96,80,37,5.5,IN,1609974799
53,Chilliwack,49.1747,-121.9443,46.4,81,93,2.24,CA,1609974799
54,Antofagasta,-23.65,-70.4,69.8,77,40,16.11,CL,1609974800
55,Chicama,-7.8447,-79.1469,69.8,83,75,14.99,PE,1609974800
56,Mwingi,-0.9344,38.0601,63.16,88,3,3.24,KE,1609974800
57,Bluff,-46.6,168.3333,63.0,91,100,5.99,NZ,1609974800
58,Ribeira Grande,38.5167,-28.7,57.83,66,13,29.44,PT,1609974800
59,Saldanha,-33.0117,17.9442,60.8,77,0,6.93,ZA,1609974800
60,Barrow,71.2906,-156.7887,-11.2,76,90,8.05,US,1609974800
61,Andra,62.5147,65.8878,-19.68,87,0,7.43,RU,1609974800
62,George Town,5.4112,100.3354,78.01,88,20,5.99,MY,1609974800
63,Baykit,61.67,96.37,-11.4,85,97,5.61,RU,1609974800
64,Hermanus,-34.4187,19.2345,66.0,75,1,9.55,ZA,1609974800
65,Māndleshwar,22.1833,75.6667,68.36,54,32,4.52,IN,1609974800
66,Jinka,5.65,36.65,66.6,49,48,0.72,ET,1609974800
67,Centralia,46.7162,-122.9543,50.0,93,90,4.9,US,1609974800
68,Punta Arenas,-53.15,-70.9167,55.4,66,75,14.99,CL,1609974801
69,Bredasdorp,-34.5322,20.0403,68.0,72,1,4.7,ZA,1609974801
70,Te Anau,-45.4167,167.7167,58.78,90,100,2.66,NZ,1609974801
71,Henties Bay,-22.116,14.2845,66.99,91,2,1.01,NA,1609974801
72,Requena,39.4883,-1.1004,35.01,70,100,6.4,ES,1609974801
73,Sept-Îles,50.2001,-66.3821,32.0,63,10,4.7,CA,1609974801
74,Kawalu,-7.3817,108.2082,72.52,92,100,2.15,ID,1609974801
75,Zambezi,-13.5432,23.1047,68.7,84,100,0.4,ZM,1609974801
76,Samarai,-10.6167,150.6667,84.83,73,99,12.46,PG,1609974801
77,Alofi,-19.0595,-169.9187,76.69,91,100,28.88,NU,1609974801
78,Gijang,35.2442,129.2139,23.0,41,75,18.34,KR,1609974801
79,Cayenne,4.9333,-52.3333,78.8,100,100,3.36,GF,1609974729
80,Cairns,-16.9167,145.7667,87.01,70,85,2.24,AU,1609974736
81,Eldorado,-23.7869,-54.2836,78.12,68,75,1.77,BR,1609974567
82,Mehamn,71.0357,27.8492,33.57,87,83,8.72,NO,1609974801
83,Mauá,-23.6678,-46.4614,78.8,61,75,4.7,BR,1609974801
84,Saint Anthony,45.0205,-93.218,32.0,68,20,5.82,US,1609974801
85,Westport,41.1415,-73.3579,36.0,56,0,13.27,US,1609974802
86,Qaqortoq,60.7167,-46.0333,23.0,53,100,6.46,GL,1609974802
87,Liverpool,53.4106,-2.9779,30.99,100,0,2.24,GB,1609974637
88,Klaksvík,62.2266,-6.589,35.6,80,68,14.99,FO,1609974802
89,Nikol'sk,53.7189,46.0712,15.3,96,100,9.93,RU,1609974802
90,Borogontsy,62.6683,131.1683,-49.0,76,92,2.84,RU,1609974802
91,Jinhua,29.1078,119.6547,31.69,93,98,7.0,CN,1609974570
92,Pokosnoye,55.5258,101.0536,-5.51,90,100,8.72,RU,1609974802
93,Busselton,-33.65,115.3333,71.01,52,78,4.0,AU,1609974802
94,Coahuayana Viejo,18.7333,-103.6833,82.4,45,40,8.05,MX,1609974802
95,Ust-Tsilma,65.441,52.1498,-1.48,92,0,4.5,RU,1609974802
96,Marsh Harbour,26.5412,-77.0636,68.74,55,66,8.84,BS,1609974802
97,Saint Paul Harbor,57.79,-152.4072,37.4,93,90,11.41,US,1609974802
98,Faya,18.3851,42.4509,55.4,93,0,2.08,SA,1609974802
99,Torbay,47.6666,-52.7314,37.0,94,96,4.0,CA,1609974802
100,Kiryat Gat,31.61,34.7642,66.0,54,81,5.01,IL,1609974660
101,Saint George,37.1041,-113.5841,55.99,23,1,3.36,US,1609974663
102,Burns Lake,54.2331,-125.7533,32.0,91,19,2.24,CA,1609974803
103,Tuktoyaktuk,69.4541,-133.0374,-23.8,74,20,5.82,CA,1609974803
104,Longyearbyen,78.2186,15.6401,17.6,72,75,1.12,SJ,1609974803
105,Salalah,17.0151,54.0924,69.8,35,0,10.29,OM,1609974803
106,Teahupoo,-17.8333,-149.2667,84.2,62,75,3.36,PF,1609974803
107,Clyde River,70.4692,-68.5914,-14.8,75,90,27.51,CA,1609974803
108,Deputatsky,69.3,139.9,-18.76,86,71,5.41,RU,1609974803
109,Moose Factory,51.2585,-80.6094,12.2,85,90,4.7,CA,1609974803
110,Port Augusta,-32.5,137.7667,70.0,63,40,13.87,AU,1609974803
111,Port Elizabeth,-33.918,25.5701,64.4,93,0,1.12,ZA,1609974652
112,Khovd,48.0056,91.6419,-11.16,72,0,0.31,MN,1609974803
113,Salinópolis,-0.6136,-47.3561,81.07,77,73,10.54,BR,1609974791
